date,review,ticker,company,clean_text,counterfactual_text,fin_orig,fin_cf,vader_orig,vader_cf
2022-06-06 14:50:42,"Pay the $1 Billion Break up Fee as agreed upon, Musk.  Don't confirm to the world that you are an unethical corporate deadbeat.  You are such a Fraud.  $TWTR $TSLA

Elon Musk says Twitter is in 'material breach' of merger agreement https://t.co/UdzUOF4atH via @Yahoo",TSLA,"Tesla, Inc.","pay the  billion break up fee as agreed upon musk  dont confirm to the world that you are an unethical corporate deadbeat  you are such a fraud  twtr tsla

elon musk says twitter is in material breach of merger agreement  via","pay the  billion break down fee as agreed upon musk  dont confirm to the world that you are an unethical corporate deadbeat  you are such a fraud  twtr tsla

elon musk says twitter is in material breach of merger agreement  via",-1,-1,-0.4939,-0.4939
2021-12-30 12:08:13,"So this ""recall"" is due to a rear-view camera? You have to be kidding me. Only time I use the rear camera is backing up. Has no effect on safety or anything. Typical $TSLA news to stir up clicks.",TSLA,"Tesla, Inc.",so this recall is due to a rearview camera you have to be kidding me only time i use the rear camera is backing up has no effect on safety or anything typical tsla news to stir up clicks,so this recall is due to a rearview camera you have to be kidding me only time i use the rear camera is backing down has no effect on safety or anything typical tsla news to stir down clicks,-1,-1,0.2732,0.2732
2021-12-23 13:00:04,"$TSLA 'Whatever Tesla Can Produce, It Will Sell': Fueled by Record December, Credit Suisse Expects Tesla to Top Q4 Deliveries by Roughly 10%",TSLA,"Tesla, Inc.",tsla whatever tesla can produce it will sell fueled by record december credit suisse expects tesla to top q deliveries by roughly,tsla whatever tesla can produce it will buy fueled by record december credit suisse expects tesla to top q deliveries by roughly,1,1,0.5267,0.5267
2022-01-02 18:04:49,"$TSLA impressive delivery numbers. The question is will we sell the news or a rally? 

I’ll be honest the 1055 level has been tested 3 times and demand is getting weaker. Hoping it gaps us on Monday and continues upside momentum. Below 1055 I’m bearish",TSLA,"Tesla, Inc.","tsla impressive delivery numbers the question is will we sell the news or a rally 

ill be honest the  level has been tested  times and demand is getting weaker hoping it gaps us on monday and continues upside momentum below  im bearish","tsla impressive delivery numbers the question is will we buy the news or a rally 

ill be honest the  level has been tested  times and demand is getting weaker hoping it gaps us on monday and continues upside momentum below  im bullish",-1,-1,0.4939,0.4939
2022-04-21 13:26:34,"Those $TSLA 1050Cs ER Lottos are looking pretty good. Given free and live @ $11.40 ($1,140 Per Contract) on @TwitterSpaces with @gurgavin @stocktalkweekly along with my thesis explaining why I'm bullish vs bearish on ER.",TSLA,"Tesla, Inc.",those tsla cs er lottos are looking pretty good given free and live    per contract on  with   along with my thesis explaining why im bullish vs bearish on er,those tsla cs er lottos are looking pretty good given free and live    per contract on  with   along with my thesis explaining why im bullish vs bullish on er,1,0,0.8555,0.8555
2022-07-26 11:21:40,"$GM talks a big game and gets a ton of attention on their laughable and lofty EV expectations. Then we get their earnings and realize just how much they suck. Then $TSLA gets beat up every day and is thrown under the bus and when they report, they surprise to upside. Ignore media https://t.co/alW8OxsPoe",TSLA,"Tesla, Inc.",gm talks a big game and gets a ton of attention on their laughable and lofty ev expectations then we get their earnings and realize just how much they suck then tsla gets beat up every day and is thrown under the bus and when they report they surprise to upside ignore media,gm talks a big game and gets a ton of attention on their laughable and lofty ev expectations then we get their earnings and realize just how much they suck then tsla gets beat down every day and is thrown under the bus and when they report they surprise to upside ignore media,-1,-1,-0.4767,-0.4767
2021-11-06 15:30:36,"Tom, if the legacy auto OEMs catch up to $TSLA the share price will drop. True. On the same note, if grandma ever grows balls she would be grandpa. Same likelihood of occurrence. Grandma / Grandma shift even more likely TBH.",TSLA,"Tesla, Inc.",tom if the legacy auto oems catch up to tsla the share price will drop true on the same note if grandma ever grows balls she would be grandpa same likelihood of occurrence grandma  grandma shift even more likely tbh,tom if the legacy auto oems catch down to tsla the share price will drop true on the same note if grandma ever grows balls she would be grandpa same likelihood of occurrence grandma  grandma shift even more likely tbh,-1,-1,0.4404,0.4404
2022-05-04 18:24:02,$TSLA shares fall over investor concerns that ⁦@elonmusk⁩ may have to sell Tesla shares to fund his Bored Ape purchase https://t.co/zqJMBVkdwJ,TSLA,"Tesla, Inc.",tsla shares fall over investor concerns that  may have to sell tesla shares to fund his bored ape purchase,tsla shares fall over investor concerns that  may have to buy tesla shares to fund his bored ape purchase,-1,-1,0.3182,0.3182
2022-06-29 10:28:00,"The media has generally put a negative spin on these layoffs - i.e., an area as important as $TSLA Autopilot is laying off people - without context that manual data labelers are being replaced by automatic AI labeling. Absent PR, not much one can do. https://t.co/1zPQqxxIoL",TSLA,"Tesla, Inc.",the media has generally put a negative spin on these layoffs  ie an area as important as tsla autopilot is laying off people  without context that manual data labelers are being replaced by automatic ai labeling absent pr not much one can do,the media has generally put a positive spin on these layoffs  ie an area as important as tsla autopilot is laying off people  without context that manual data labelers are being replaced by automatic ai labeling absent pr not much one can do,-1,-1,-0.4404,0.6597
2022-06-03 08:52:05,If @elonmusk is that concerned about the economy why buy $TWTR which will get hurt the most as adv spending is first to be cut during recession? Or is Elon just trying to create some uncertainty among his non-mnfg people so they get back to work? $tsla https://t.co/isw5lqRecP,TSLA,"Tesla, Inc.",if  is that concerned about the economy why buy twtr which will get hurt the most as adv spending is first to be cut during recession or is elon just trying to create some uncertainty among his nonmnfg people so they get back to work tsla,if  is that concerned about the economy why sell twtr which will get hurt the most as adv spending is first to be cut during recession or is elon just trying to create some uncertainty among his nonmnfg people so they get back to work tsla,-1,-1,-0.8225,-0.8225
2022-01-27 17:09:32,"$TSLA is down today despite the earnings beat. Why?

This is because @elonmusk was on the earnings call 😂

I mean 
He doesn't care about the short term
He doesn't try to please wall streets",TSLA,"Tesla, Inc.","tsla is down today despite the earnings beat why

this is because  was on the earnings call 

i mean 
he doesnt care about the short term
he doesnt try to please wall streets","tsla is up today despite the earnings beat why

this is because  was on the earnings call 

i mean 
he doesnt care about the short term
he doesnt try to please wall streets",-1,0,-0.5559,-0.5559
2021-12-16 23:45:06,Look what I came across at my son's swim meet. @Tesla is waking up the world. I think that @elonmusk can take credit for this platform. Sustainable Energy in full effect! @WholeMarsBlog @TeslaDiva99 @PauljHorton @Kristennetten @99brownKaryl @marvelwonderkat @R6Alex https://t.co/2C2Af6DRxw,TSLA,"Tesla, Inc.",look what i came across at my sons swim meet  is waking up the world i think that  can take credit for this platform sustainable energy in full effect,look what i came across at my sons swim meet  is waking down the world i think that  can take credit for this platform sustainable energy in full effect,1,1,0.5719,0.5719
2022-04-11 04:36:42,"Market Recap:
https://t.co/IKow7BFtUc

The real reason behind the fall of Imran Khan + Who will fall next? + Anti inflation protests heat up worldwide + Germany on the brink of a recession + Elon to destroy $TWTR ? + Charts $SPY $QQQ $IWM $DXY $GLD $VIX $AAPL $TSLA $BTC $AMC https://t.co/Me3q6a81yE",TSLA,"Tesla, Inc.","market recap


the real reason behind the fall of imran khan  who will fall next  anti inflation protests heat up worldwide  germany on the brink of a recession  elon to destroy twtr   charts spy qqq iwm dxy gld vix aapl tsla btc amc","market recap


the real reason behind the fall of imran khan  who will fall next  anti inflation protests heat down worldwide  germany on the brink of a recession  elon to destroy twtr   charts spy qqq iwm dxy gld vix aapl tsla btc amc",-1,-1,-0.8591,-0.8591
2022-07-21 15:08:03,"$TSLA the small, criminal car company now has a market cap of $917 billion, which is 61% of $GOOGL; $TSLA is barely FCF positive, and the CEO is warning of ""force majeures"" $TSLAQ $TWTR",TSLA,"Tesla, Inc.",tsla the small criminal car company now has a market cap of  billion which is  of googl tsla is barely fcf positive and the ceo is warning of force majeures tslaq twtr,tsla the small criminal car company now has a market cap of  billion which is  of googl tsla is barely fcf negative and the ceo is warning of force majeures tslaq twtr,-1,-1,-0.3566,-0.849
2021-10-28 00:13:13,"Clip from class on Mon breaking down $TSLA tape. 

If this intimidates you:

1. Ask yourself why you're not capable of doing what others do everyday
2. Ask whether fear should dissuade you from doing what's necessary

We're just getting started: https://t.co/tm4beGiESV https://t.co/iFlWJT323E",TSLA,"Tesla, Inc.","clip from class on mon breaking down tsla tape 

if this intimidates you

 ask yourself why youre not capable of doing what others do everyday
 ask whether fear should dissuade you from doing whats necessary

were just getting started","clip from class on mon breaking up tsla tape 

if this intimidates you

 ask yourself why youre not capable of doing what others do everyday
 ask whether fear should dissuade you from doing whats necessary

were just getting started",-1,0,-0.7911,-0.7911
2022-07-28 08:46:48,"To understand $TWTR overhang on $TSLA shares:  
1/ Elon may need to sell $9.2B additional TSLA shares to complete TWTR deal at $54.20/share; Every $1/share price reduction saves $0.7B.
2/ TWTR distraction as CEO: Ad-driven business; lack of cultural fit
3/ Loss in share of voice https://t.co/HKep5lGDP2",TSLA,"Tesla, Inc.","to understand twtr overhang on tsla shares  
 elon may need to sell b additional tsla shares to complete twtr deal at share every share price reduction saves b
 twtr distraction as ceo addriven business lack of cultural fit
 loss in share of voice","to understand twtr overhang on tsla shares  
 elon may need to buy b additional tsla shares to complete twtr deal at share every share price reduction saves b
 twtr distraction as ceo addriven business lack of cultural fit
 loss in share of voice",-1,-1,0.6486,0.6486
2022-01-13 00:43:29,"If you take this screen from BB terminal (thanks @garyblack00) and extend the Y-axis up to where $TSLA's Q4 Adjusted EPS will actually hit (I assume around $3), it will *literally* be off the chart. 

It will be so far off this chart, it will be off the screen. https://t.co/PJJaDCveJi",TSLA,"Tesla, Inc.","if you take this screen from bb terminal thanks  and extend the yaxis up to where tslas q adjusted eps will actually hit i assume around  it will literally be off the chart 

it will be so far off this chart it will be off the screen","if you take this screen from bb terminal thanks  and extend the yaxis down to where tslas q adjusted eps will actually hit i assume around  it will literally be off the chart 

it will be so far off this chart it will be off the screen",-1,-1,0.5574,0.5574
2022-03-14 17:32:58,Foxconn closes in China which is a major supplier for $AAPL and Apple stock only down 2.6%. $TSLA on the other hand is down 4.5% on no news. https://t.co/hwFqUdnJbm,TSLA,"Tesla, Inc.",foxconn closes in china which is a major supplier for aapl and apple stock only down  tsla on the other hand is down  on no news,foxconn closes in china which is a major supplier for aapl and apple stock only up  tsla on the other hand is up  on no news,-1,0,0.25,0.25
2021-11-01 20:03:41,$TSLA up 8.5% adding ~$105 billion in market cap is a really healthy sign for the markets and shows that investors are finding deep value in previously under-appreciated companies.,TSLA,"Tesla, Inc.",tsla up  adding  billion in market cap is a really healthy sign for the markets and shows that investors are finding deep value in previously underappreciated companies,tsla down  adding  billion in market cap is a really healthy sign for the markets and shows that investors are finding deep value in previously underappreciated companies,1,1,0.659,0.659
2022-01-21 18:29:14,"$tsla rn may be the most vulnerable stock in S&amp;P500 

I went bear 🐻 on this at 1200 when all bot due to “deliveries” now 957 

I think market rallies strongly after $tsla earnings out the way on the 26th

Frankly so many bros in this stock it’s ok  with me if it went down to 899",TSLA,"Tesla, Inc.","tsla rn may be the most vulnerable stock in sampp 

i went bear  on this at  when all bot due to deliveries now  

i think market rallies strongly after tsla earnings out the way on the th

frankly so many bros in this stock its ok  with me if it went down to","tsla rn may be the most vulnerable stock in sampp 

i went bear  on this at  when all bot due to deliveries now  

i think market rallies strongly after tsla earnings out the way on the th

frankly so many bros in this stock its ok  with me if it went up to",1,1,0.2748,0.2748
2022-07-09 05:24:08,"This could be the start of the run:

Twitter 
Earnings beat expectations 
Exciting earnings call 
Shareholders meeting 
Split
4680 ramp
Record deliveries 
And more..

And high possibility the FED pivots sometime. 

$TSLA might not come back down.",TSLA,"Tesla, Inc.","this could be the start of the run

twitter 
earnings beat expectations 
exciting earnings call 
shareholders meeting 
split
 ramp
record deliveries 
and more

and high possibility the fed pivots sometime 

tsla might not come back down","this could be the start of the run

twitter 
earnings beat expectations 
exciting earnings call 
shareholders meeting 
split
 ramp
record deliveries 
and more

and high possibility the fed pivots sometime 

tsla might not come back up",-1,-1,0.4939,0.4939
2022-03-14 17:54:19,"Things that need to happen for $TSLA to recover:

1. War needs to end.
2. Commodity prices need to come down.
3. Inflation needs to stabilize.
4. Tesla needs to prove that it can financially mitigate higher input costs while maintaining high volume growth (price ⬆️).",TSLA,"Tesla, Inc.","things that need to happen for tsla to recover

 war needs to end
 commodity prices need to come down
 inflation needs to stabilize
 tesla needs to prove that it can financially mitigate higher input costs while maintaining high volume growth price","things that need to happen for tsla to recover

 war needs to end
 commodity prices need to come up
 inflation needs to stabilize
 tesla needs to prove that it can financially mitigate higher input costs while maintaining high volume growth price",1,1,-0.3182,-0.3182
2021-11-08 00:02:43,I’m going down with the ship. Not selling a single share. HODL 😂 $TSLA,TSLA,"Tesla, Inc.",im going down with the ship not selling a single share hodl  tsla,im going up with the ship not selling a single share hodl  tsla,-1,0,-0.2235,-0.2235
2022-09-19 16:46:36,"#Tesla Giga Austin Deliveries Accelerating, Raising Confidence in 500K Q4 - Chowdhry
|Sep 19, 2022 10:29AM ET

Global Equities Research analyst reiterated a Buy rating and $760 price target on the stock. $TSLA",TSLA,"Tesla, Inc.","tesla giga austin deliveries accelerating raising confidence in k q  chowdhry
sep   am et

global equities research analyst reiterated a buy rating and  price target on the stock tsla","tesla giga austin deliveries accelerating raising confidence in k q  chowdhry
sep   am et

global equities research analyst reiterated a sell rating and  price target on the stock tsla",1,1,0.5106,0.5106
2022-07-23 18:24:14,"3/ While skeptics will argue that share buybacks indicate slowing growth so does rapid cash build up. If cash soars past $20B or $30B, $TSLA will lose credibility that they don’t get capital allocation. Cash invested at 3-4% returns is far inferior to buying in stock at 20%+ IRR.",TSLA,"Tesla, Inc.",while skeptics will argue that share buybacks indicate slowing growth so does rapid cash build up if cash soars past b or b tsla will lose credibility that they dont get capital allocation cash invested at  returns is far inferior to buying in stock at  irr,while skeptics will argue that share buybacks indicate slowing growth so does rapid cash build down if cash soars past b or b tsla will lose credibility that they dont get capital allocation cash invested at  returns is far inferior to buying in stock at  irr,-1,-1,-0.5267,-0.5267
2022-07-21 03:29:24,"@elonmusk @Reuters Great job @Tesla for opening up some charging stations in Harlingen, Texas! Very much needed.",TSLA,"Tesla, Inc.",great job  for opening up some charging stations in harlingen texas very much needed,great job  for opening down some charging stations in harlingen texas very much needed,1,1,0.6249,0.6249
2022-05-12 08:41:45,"$TSLA -1.2% to $725 pre-mkt as investors continue to re-rate down multiples of the entire EV industry. Equities fell (SPX -0.6%, NDX -0.9%) as higher-than-expected inflation in April lead to recessionary fears of even more aggressive Fed policy tightening. 10yrTY 2.833% -8.1 bp.",TSLA,"Tesla, Inc.",tsla  to  premkt as investors continue to rerate down multiples of the entire ev industry equities fell spx  ndx  as higherthanexpected inflation in april lead to recessionary fears of even more aggressive fed policy tightening yrty   bp,tsla  to  premkt as investors continue to rerate up multiples of the entire ev industry equities fell spx  ndx  as higherthanexpected inflation in april lead to recessionary fears of even more aggressive fed policy tightening yrty   bp,-1,-1,-0.5709,-0.5709
2021-10-08 22:47:35,P/L: +$177.3K 🔥 Solid day today.  Absolutely killed the $CEI bagholder short setup.  Was expecting a stall out around that 2.2 gap fill area and it ended up going another 25 cents on top of that for more meat on the bone.  $AFRM scalps.  Got stuck in $TSLA late day no bounce. https://t.co/PCgSsTGooS,TSLA,"Tesla, Inc.",pl k  solid day today  absolutely killed the cei bagholder short setup  was expecting a stall out around that  gap fill area and it ended up going another  cents on top of that for more meat on the bone  afrm scalps  got stuck in tsla late day no bounce,pl k  solid day today  absolutely killed the cei bagholder short setup  was expecting a stall out around that  gap fill area and it ended down going another  cents on top of that for more meat on the bone  afrm scalps  got stuck in tsla late day no bounce,-1,-1,-0.8122,-0.8122
2021-12-31 15:35:28,"NEWS: Deutsche Bank analyst Emmanuel Rosner raised the price target on $TSLA to $1,200 (from $1,000) while maintaining a Buy rating.

“We continue to believe Tesla’s trajectory for its battery technology, capacity &amp; especially cost could help accelerate the world’s shift to EV’s” https://t.co/Tt58nAfePC",TSLA,"Tesla, Inc.","news deutsche bank analyst emmanuel rosner raised the price target on tsla to  from  while maintaining a buy rating

we continue to believe teslas trajectory for its battery technology capacity amp especially cost could help accelerate the worlds shift to evs","news deutsche bank analyst emmanuel rosner raised the price target on tsla to  from  while maintaining a sell rating

we continue to believe teslas trajectory for its battery technology capacity amp especially cost could help accelerate the worlds shift to evs",1,1,0.4522,0.4522
2021-12-01 21:38:23,"I wouldn't pay attention to AH's tonight. Just late orders being executed from the close. I bought 2,000 more at $1086 in AH's. Need to make up for my loss from earlier with all my stop losses that triggered. $TSLA",TSLA,"Tesla, Inc.",i wouldnt pay attention to ahs tonight just late orders being executed from the close i bought  more at  in ahs need to make up for my loss from earlier with all my stop losses that triggered tsla,i wouldnt pay attention to ahs tonight just late orders being executed from the close i bought  more at  in ahs need to make down for my loss from earlier with all my stop losses that triggered tsla,-1,0,-0.7099,-0.7099
2022-05-18 10:43:13,"@stevenmarkryan @garyblack00 @elonmusk @MmeAlexandraS @MoodysInvSvc @SPGlobalRatings @ICannot_Enough @RonMadison11 My optimistic guess is probably because Tesla IR doesn’t play the same game of bowing down to them and wining and dining them, my pessimistic guess is more corrupt than that (Ie. The decision-makers are in bed with billion dollar Funds short $TSLA)",TSLA,"Tesla, Inc.",my optimistic guess is probably because tesla ir doesnt play the same game of bowing down to them and wining and dining them my pessimistic guess is more corrupt than that ie the decisionmakers are in bed with billion dollar funds short tsla,my optimistic guess is probably because tesla ir doesnt play the same game of bowing up to them and wining and dining them my pessimistic guess is more corrupt than that ie the decisionmakers are in bed with billion dollar funds short tsla,-1,-1,-0.304,-0.304
2021-11-16 00:15:52,"If you're ever tempted by the devil to sell your $TSLA, just think about the Tesla Semi.

Unlike their other product categories, which have strong brand loyalties (sedans, pickup trucks, etc), I think they can establish utter dominance in market share in class 8 trucks. https://t.co/NapkGyAj08",TSLA,"Tesla, Inc.","if youre ever tempted by the devil to sell your tsla just think about the tesla semi

unlike their other product categories which have strong brand loyalties sedans pickup trucks etc i think they can establish utter dominance in market share in class  trucks","if youre ever tempted by the devil to buy your tsla just think about the tesla semi

unlike their other product categories which have strong brand loyalties sedans pickup trucks etc i think they can establish utter dominance in market share in class  trucks",1,1,0.5859,0.5859
2021-10-13 06:17:01,"As we know, the stonk market is unpredictable/often straight up braindead.

That said...

I do wonder what could drive $TSLA any lower. Q3 will CRUSH expectations, Berlin &amp; Austin about to start ramping, all subsequent quarters will be BLOWOUTS (operating leverage, baby).",TSLA,"Tesla, Inc.","as we know the stonk market is unpredictableoften straight up braindead

that said

i do wonder what could drive tsla any lower q will crush expectations berlin amp austin about to start ramping all subsequent quarters will be blowouts operating leverage baby","as we know the stonk market is unpredictableoften straight down braindead

that said

i do wonder what could drive tsla any lower q will crush expectations berlin amp austin about to start ramping all subsequent quarters will be blowouts operating leverage baby",-1,-1,-0.2263,-0.2263
2022-07-05 16:12:31,"CFRA analyst Garrett Nelson lowered the price target on $TSLA to $1,100 (from $1,200) while maintaining a Strong Buy rating. 
@sbink",TSLA,"Tesla, Inc.",cfra analyst garrett nelson lowered the price target on tsla to  from  while maintaining a strong buy rating,cfra analyst garrett nelson lowered the price target on tsla to  from  while maintaining a strong sell rating,-1,-1,0.4215,0.4215
2022-01-21 15:26:32,"Current status:
Buying Feb $TSLA calls like a drunken sailor.

“Because Netflix and Peloton had bad earnings on declining sales, we should sell $TSLA today because their continuing record high sales and earnings won’t count now”
-The Market, probably",TSLA,"Tesla, Inc.","current status
buying feb tsla calls like a drunken sailor

because netflix and peloton had bad earnings on declining sales we should sell tsla today because their continuing record high sales and earnings wont count now
the market probably","current status
buying feb tsla calls like a drunken sailor

because netflix and peloton had bad earnings on declining sales we should buy tsla today because their continuing record high sales and earnings wont count now
the market probably",-1,-1,-0.25,-0.25
2022-05-29 13:46:29,"$TSLA &gt; $AMZN profits &amp; cash flow

$TSLA = 10x $AMZN growth rate

AWS has no competitive advantage, and the rest of Amazon is losing billions. Tesla, on the other hand, is the only company with triple-digit profit growth and a rock-solid balance sheet.

SELL $AMZN, BUY $TSLA 🚀🌕",TSLA,"Tesla, Inc.","tsla gt amzn profits amp cash flow

tsla  x amzn growth rate

aws has no competitive advantage and the rest of amazon is losing billions tesla on the other hand is the only company with tripledigit profit growth and a rocksolid balance sheet

sell amzn buy tsla","tsla gt amzn profits amp cash flow

tsla  x amzn growth rate

aws has no competitive advantage and the rest of amazon is losing billions tesla on the other hand is the only company with tripledigit profit growth and a rocksolid balance sheet

buy amzn buy tsla",-1,-1,0.9313,0.9313
2022-06-25 21:34:48,"3/ $TSLA will report 2Q delivs  next Sat 7/2. Ests are all over the board. Factset is showing 273K; Bloomberg is at 287K. Both will come down as we near the print and analysts update models for 2Q. @TroyTeslike is at 253K deliv and 259K production, which is as good an est as any.",TSLA,"Tesla, Inc.",tsla will report q delivs  next sat  ests are all over the board factset is showing k bloomberg is at k both will come down as we near the print and analysts update models for q  is at k deliv and k production which is as good an est as any,tsla will report q delivs  next sat  ests are all over the board factset is showing k bloomberg is at k both will come up as we near the print and analysts update models for q  is at k deliv and k production which is as good an est as any,-1,0,0.4404,0.4404
